substrate,species,replicate,larvae,adults,proportion
F. mucoso,D. yakuba,10,50,31,0.62
Cornmeal,D. yakuba,10,50,28,0.56
F. c. fernandesiana,D. yakuba,11,50,7,0.14
F. kamerounesis,D. yakuba,11,46,34,0.739130435
F. mucoso,D. yakuba,11,49,22,0.448979592
Cornmeal,D. yakuba,11,49,19,0.387755102
F. c. fernandesiana,D. yakuba,12,50,14,0.28
F. kamerounesis,D. yakuba,12,51,14,0.274509804
F. mucoso,D. yakuba,12,50,32,0.64
Cornmeal,D. yakuba,12,48,29,0.604166667
F. c. fernandesiana,D. yakuba,13,49,31,0.632653061
F. kamerounesis,D. yakuba,13,50,29,0.58
F. mucoso,D. yakuba,13,49,18,0.367346939
Cornmeal,D. yakuba,13,45,33,0.733333333
F. kamerounesis,D. yakuba,14,49,31,0.632653061
F. mucoso,D. yakuba,14,47,39,0.829787234
Cornmeal,D. yakuba,14,50,29,0.58
F. c. fernandesiana,D. yakuba,15,50,15,0.3
F. mucoso,D. yakuba,15,50,31,0.62
Cornmeal,D. yakuba,15,49,23,0.469387755
F. c. fernandesiana,D. yakuba,16,48,29,0.604166667
F. kamerounesis,D. yakuba,16,47,15,0.319148936
F. mucoso,D. yakuba,16,49,25,0.510204082
Cornmeal,D. yakuba,16,50,24,0.48
F. c. fernandesiana,D. yakuba,17,48,31,0.645833333
F. kamerounesis,D. yakuba,17,49,18,0.367346939
F. mucoso,D. yakuba,17,50,11,0.22
Cornmeal,D. yakuba,17,49,18,0.367346939
F. c. fernandesiana,D. yakuba,18,50,26,0.52
F. kamerounesis,D. yakuba,18,48,10,0.208333333
Cornmeal,D. yakuba,18,50,24,0.48
