species,month,year,count,type
Homalium henriquesii,JUL,2018,6,Fruit
Psydrax subcordata,JUL,2018,5,Fruit
Psydrax acutiflora,JUL,2018,4,Fruit
Antidesma vogelianum,JUL,2018,0,Fruit
Sabicea ingrata ingrata,JUL,2018,0,Fruit
Psidium guajava,JUL,2018,0,Fruit
D. santomea_Obo,JUL,2018,12,Drosophila
F1_Obo,JUL,2018,1,Drosophila
D. yakuba_Obo,JUL,2018,2,Drosophila
D. santomea_BS,JUL,2018,0,Drosophila
F1_BS,JUL,2018,0,Drosophila
D. yakuba_BS,JUL,2018,5,Drosophila
D. yakuba_MC,JUL,2018,56,Drosophila
Ficus clamydocarpa fernandesiana,AUG,2018,0,Fruit
Ficus kamerounesis,AUG,2018,0,Fruit
Ficus mucoso,AUG,2018,0,Fruit
Sapium ellipticum,AUG,2018,0,Fruit
Croton stelluifer,AUG,2018,0,Fruit
Homalium henriquesii,AUG,2018,0,Fruit
Psydrax subcordata,AUG,2018,0,Fruit
Psydrax acutiflora,AUG,2018,5,Fruit
Antidesma vogelianum,AUG,2018,0,Fruit
Sabicea ingrata ingrata,AUG,2018,0,Fruit
Psidium guajava,AUG,2018,6,Fruit
D. santomea_Obo,AUG,2018,19,Drosophila
F1_Obo,AUG,2018,0,Drosophila
D. yakuba_Obo,AUG,2018,7,Drosophila
D. santomea_BS,AUG,2018,1,Drosophila
F1_BS,AUG,2018,0,Drosophila
D. yakuba_BS,AUG,2018,6,Drosophila
D. yakuba_MC,AUG,2018,0,Drosophila
Ficus clamydocarpa fernandesiana,SEP,2018,24,Fruit
Ficus kamerounesis,SEP,2018,1,Fruit
Ficus mucoso,SEP,2018,0,Fruit
Sapium ellipticum,SEP,2018,0,Fruit
Croton stelluifer,SEP,2018,3,Fruit
Homalium henriquesii,SEP,2018,5,Fruit
Psydrax subcordata,SEP,2018,33,Fruit
Psydrax acutiflora,SEP,2018,1,Fruit
Antidesma vogelianum,SEP,2018,0,Fruit
Sabicea ingrata ingrata,SEP,2018,2,Fruit
Psidium guajava,SEP,2018,3,Fruit
D. santomea_Obo,SEP,2018,78,Drosophila
F1_Obo,SEP,2018,0,Drosophila
D. yakuba_Obo,SEP,2018,54,Drosophila
D. santomea_BS,SEP,2018,11,Drosophila
F1_BS,SEP,2018,1,Drosophila
D. yakuba_BS,SEP,2018,6,Drosophila
D. yakuba_MC,SEP,2018,19,Drosophila
